NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Teflon|Teflon|2015-02-25|9002-84-0||Produit non contrôlé|Non requise|||
Teinture de Wright|Wright's stain|2014-11-14|68988-92-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Tellure de bismuth|Bismuth telluride|2015-12-03|1304-82-1||Produit non contrôlé|Non requise|||
Tellure de bismuth (dopé en Se)|Bismuth telluride (doped with se)|2015-12-03|||Produit non contrôlé|Non requise|||
Tellure de vanadium|Vanadium telluride|2015-10-09|35515-91-4||Produit non contrôlé|Non requise|||
Tellurite de potassium|Potassium tellurite|2015-08-07|7790-58-1||Produit non contrôlé|Non requise|||
Tellurite de sodium|Sodium tellurite|2014-11-14|10102-20-2||DS.1c.99, DS.1i.99, DS.1o.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Térébenthine|Turpentine|2015-10-22|8006-64-2|UN1299|DP.6.3, DS.1i.4, DS.2.2, DS.3.2, DS.4c.1A, DS.8i.3, DS.10.1|Réglementation|||
Terphényles|Terphenyls|2016-09-26|26140-60-3||Produit non contrôlé|Non requise|||
Terphényles hydrogénés|Hydrogenated terphenyls|2015-08-20|61788-32-7||Produit non contrôlé|Non requise|||
Terpinéol (alpha-)|alpha-Terpineol|2014-11-14|98-55-5||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Terre de diatomées (contenant moins de 1% quartz)|Diatomaceous earth (containing less than 1% quartz)|2015-02-25|61790-53-2||Produit non contrôlé|Non requise|||
Terre de diatomées calcinée|Calcined diatomaceous silica|2015-10-15|51109-72-9||DS.6.1A, DS.9.1|Réglementation||La classifications concernant la la toxicité des organes - exposition répétée (H372) s'applique à un mélange non testé pour ce critère contenant au moins 1 % d'un toxique pour certains organes cible - expositions répétés (Cristobalite).|
Terre de diatomées calcinée en présence d'un flux|Flux calcined diatomaceous earth|2015-08-18|68855-54-9||DS.6.1A, DS.9.1|Réglementation||La classification concernant la toxicité des organes - exposition répétée (H372) s'applique à un mélange non testé pour ce critère contenant au moins 1 % d'une substance qui cause de la toxicité des organes - exposition répétée (Cristobalite).|
test amf|amf test|2015-07-29|||DP.17.99|Réglementation||Ce produit appartient à la classe de danger "Poussières combustibles" si au moins 5% du poids est constitué de particules d'une taille < 500 µm.|
Tétraacétaldéhyde|Tetraacetaldehyde|2014-11-14|108-62-3|UN1332|DP.7.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Tétraacétate de zirconium|Zirconium tetraacetate|2015-08-19|4229-34-9||Produit non contrôlé|Non requise|||
Tétraborate de lithium anhydre|Lithium tetraborate anhydrous|2019-12-09|12007-60-2||DS.1o.4, DS.3.1, DS.7.1A, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant la toxicité pour la reproduction (H360) et la toxicité pour certains organes cibles - expositions répétées (H372) ont été établies par analogie au carbonate de lithium.|
Tétraborate de lithium pentahydraté|Lithium tetraborate pentahydrate|2018-10-12|1303-94-2||DS.1o.4, DS.3.1|Réglementation|||
Tétraborate de sodium décahydraté|Sodium tetraborate decahydrate|2016-02-23|1303-96-4||DS.3.2, DS.7.1B, DS.8i.3|Réglementation|||
Tétrabromo-1,1,2,2 éthane|1,1,2,2-Tetrabromoethane|2015-10-30|79-27-6|UN2504|DS.1o.4, DS.2.2, DS.3.2, DS.9.1|Réglementation|||
Tétrabromure de carbone|Carbon tetrabromide|2015-10-30|558-13-4|UN2516|DS.3.2|Réglementation|||
Tétrabromure de molybdène|Molybdenum tetrabromide|2018-07-26|13520-59-7||DS.6.2, DS.7.2|Réglementation||En raison du manque de données, la classification concernant la toxicité pour la reproduction (H361) a été établie par analogie au Molybdate de sodium. En raison du manque de données, la classification concernant la cancérogénicité (H351) a été établie par analogie aux composés solubles de Molybdène.|
Tétracarbonyle de cobalt|Cobalt tetracarbonyl|2016-01-29|10210-68-1||DS.6.2|Réglementation|||
Tétrachloro-1,1,1,2 difluoro-2,2 éthane|1,1,1,2-Tetrachloro-2,2-difluoroethane|2015-08-07|76-11-9||Produit non contrôlé|Non requise|||
Tétrachloro-1,1,1,2 éthane|1,1,1,2-Tetrachloroethane|2014-11-14|630-20-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.3.2, DS.6.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Tétrachloro-1,1,2,2 difluoro-1,2 éthane|1,1,2,2-Tetrachloro-1,2-difluoroethane|2015-07-24|76-12-0||Produit non contrôlé|Non requise|||
Tétrachloro-1,1,2,2 éthane|1,1,2,2-Tetrachloroethane|2016-09-27|79-34-5|UN1702|DS.1i.3, DS.1o.3, DS.2.2, DS.3.2, DS.5.2, DS.6.2, DS.9.1|Réglementation|||
Tétrachloronaphtalène|Tetrachloronaphthalene|2015-10-14|1335-88-2||Produit non contrôlé|Non requise|||
Tétrachlorure de carbone|Carbon tetrachloride|2015-08-18|56-23-5|UN1846|DS.1i.3, DS.2.2, DS.4c.1B, DS.6.2, DS.8.1, DS.9.1|Réglementation|||
Tétrachlorure de platine|Platinum tetrachloride|2015-10-27|13454-96-1||DS.1o.3, DS.4c.1, DS.4r.1|Réglementation|||
Tétrachlorure de platine pentahydraté|Platinum tetrachloride pentahydrate|2015-11-19|||DS.1o.3, DS.4c.1, DS.4r.1|Réglementation||En raison du manque de données, les classifications concernant la sensibilisation respiratoire (H334) et la sensibilisation cutanée (H317) ont été établies par analogie au tétrachlorure de platine.|
Tétrachlorure de plomb|Lead tetrachloride|2015-10-01|13463-30-4||DS.6.1B, DS.7.1A, DS.9.1|Réglementation||La toxicité des composés inorganiques du plomb est liée à la présence de l'ion Pb2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés inorganiques de plomb|
Tétrachlorure de sélénium|Selenium tetrachloride|2016-01-28|10026-03-6||DS.9.1|Réglementation||La classification concernant la toxicité pour certains organes cibles - exposition répétée (H372) est basée sur l'ensemble des données disponibles pour le sélénium et ses composés comme le séléniate de sodium.|
Tétrachlorure de titane|Titanium tetrachloride|2015-12-21|7550-45-0|UN1838|DS.1i.1, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation : Chlorure d'hydrogène. |
Tétrachlorure de zirconium|Zirconium tetrachloride|2015-08-19|10026-11-6|UN2503|DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation . |
Tétradécafluorohexane|Tetradecafluorohexane|2014-11-14|355-42-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Tétradécane|Tetradecane|2016-07-27|629-59-4||DS.10.1|Réglementation|||
Tétraéthylènepentamine|Tetraethylenepentamine|2016-07-15|112-57-2|UN2320|DS.1c.3, DS.2.1, DS.3.1, DS.4c.1, DS.12co.1|Réglementation|||
Tétrafluoro-1,1,1,2 éthane|1,1,1,2-Tetrafluoroethane|2015-11-25|811-97-2|UN3159|DP.5.2, DP.18.1|Réglementation|||
Tétrafluoro-1,1,2,2 éthane|1,1,2,2-Tetrafluoroethane|2014-11-14|359-35-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Tétrafluoro-1,1,2,2 éthylène|Tetrafluoroethene|2017-08-15|116-14-3|UN1081|DP.2.1, DP.5.2, DS.6.1B, DS.8.2|Réglementation||Ce produit est généralement commercialisé avec un inhibiteur. Par conséquent, la classification des risques liés à la santé pourrait être différente, selon l'inhibiteur utilisé et sa concentration. La classification des risques physiques tient compte de son état inhibé. Cependant, sous certaines conditions (par exemple, déplétion ou absence de l’inhibiteur) une polymérisation dangereuse peut se produire.|
Tétrafluoroborate de lithium|Lithium tetrafluoroborate|2018-10-12|14283-07-9||DS.3.1|Réglementation|||
Tétrafluoroborate de nickel|Nickel tetrafluoroborate|2015-08-11|14708-14-6||DS.4c.1, DS.4r.1, DS.6.1A, DS.7.1B, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant la sensibilisation cutanée (H317), la sensibilisation respiratoire (H334), la toxicité pour la reproduction (H361) et la toxicité systémique pour certaines organes cibles-exposition unique (H372) ont étés établies par analogie au sulfate de nickel (composé soluble de nickel).|
Tétrafluoroborate de potassium|Potassium tetrafluoroborate|2015-12-22|14075-53-7||Produit non contrôlé|Non requise|||
Tétrafluoroborate de sodium|Sodium fluoroborate|2018-10-12|13755-29-8||DS.2.1B, DS.3.1, DS.12co.1|Réglementation|||
Tétrafluorure de carbone|Carbon tetrafluoride|2014-11-14|75-73-0|UN1982|DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Tétrafluorure de silicium|Silicon tetrafluoride|2015-12-21|7783-61-1|UN1859|DP.5.2, DS.1i.2, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation. Il n'y a aucune donnée disponible pour le tétrafluorure de silicium concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Fluorure d'hydrogène.|
Tétrafluorure de soufre|Sulfur tetrafluoride|2015-12-23|7783-60-0|UN2418|DP.5.2, DS.1i.3, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation. Il n’y a aucune donnée disponible pour le tétrafluorure de soufre concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Acide Fluorhydrique.|
Tétrahydroaluminate de lithium|Lithium tetrahydroaluminate|2016-08-10|16853-85-3|UN1410|DP.12.1, DP.17.99, DS.2.1, DS.3.1, DP.7.99, DS.8i.3|Réglementation||Il n'y a aucune donnée disponible pour l'hydrure d'aluminium et de lithium concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: l'hydroxyde de lithium.Ce produit appartient à la classe de danger "Poussières combustibles" si au moins 5% du poids est constitué de particules d'une taille < 500 µm.|
Tétrahydrofurane|Tetrahydrofuran|2018-07-25|109-99-9|UN2056|DP.6.2, DS.3.2, DS.6.2, DS.8i.3|Réglementation|||
Tétrahydrure de germanium|Germanium tetrahydride|2015-10-27|7782-65-2|UN2192|DP.2.1, DP.5.2, DP.19.1|Réglementation||Des données de toxicité aiguë par inhalation (CL50) sont disponibles pour ce produit, mais leur validité n'a pu être vérifiée.|
Tétrakis(méthylène(di-tert-butyl-3,5 hydroxy-4 hydrocinnamate)) méthane|Fenozan 32|2014-11-14|6683-19-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Tétraméthyl-2,4,7,9 décyne-5 diol-4,7 éthoxylé|Ethoxylated-2,4,7,9-tetramethyl-5-decyne-4,7-diol|2014-11-14|9014-85-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Tétraméthylsuccinonitrile|Tetramethylsuccinonitrile|2018-08-10|3333-52-6||DS.1i.2, DS.1o.2, DS.8.2|Réglementation||La classification de la toxicité aigue par inhalation (H330) dans la catégorie 2 a été établie à partir de la plus faible dose (0,5 mg/l pour 4 heures) testée. À cette dose, tous les animaux sont décédés. Ce produit pourrait donc être classifié dans une catégorie de danger plus sévère que celle mentionnée ci-haut.|
Tétramolybdate d'ammonium|Ammonium tetramolybdate|2018-07-26|12207-64-6||DS.6.2, DS.7.2|Réglementation||En raison du manque de données, la classification concernant la toxicité pour la reproduction (H361) a été établie par analogie au Molybdate de sodium. En raison du manque de données, la classification concernant la cancérogénicité (H351) a été établie par analogie aux composés solubles de Molybdène.|
Tétranitrate de zirconium|Zirconium tetranitrate|2015-08-19|13746-89-9|UN2728|DP.14.3|Réglementation|||
Tétranitrate de zirconium pentahydraté|Zirconium tetranitrate pentahydrate|2015-08-19|13773-58-5|UN2728|DP.14.3|Réglementation|||
Tétranitrométhane|Tetranitromethane|2015-09-22|509-14-8|UN1510|DP.13.1, DS.1i.1, DS.1o.3, DS.6.2, DS.8.1, DS.8i.3|Réglementation|||
Tétrathiafulvalène|Tetrathiafulvalene|2014-11-14|31366-25-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Tétroxyde de cobalt(II,III)|Cobalt tetraoxide(II,III)|2014-11-14|1308-06-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.4r.1, DS.6.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Tétroxyde de manganèse|Manganese tetroxide|2016-11-10|1317-35-7||DS.9.1|Réglementation|||
Tétroxyde de plomb|Lead tetroxide|2015-10-01|1314-41-6||DS.6.1B, DS.7.1A, DS.9.1|Réglementation||La toxicité des composés inorganiques du plomb est liée à la présence de l'ion Pb2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés inorganiques de plomb|
Tétroxyde d'osmium|Osmium tetroxide|2015-08-19|20816-12-0|UN2471|DS.1o.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Tétryl|Tetryl|2016-03-18|479-45-8|UN0208|DP.20ex.1, DS.3.2, DS.4c.1, DS.9.3|Réglementation||Ce produit est une matière explosive selon le Règlement sur le transport des marchandises dangereuses. Il répond aussi à la définition d'une matière autoréactive selon le Règlement sur les produits dangereux. Matière thermiquement instable susceptible de subir une décomposition fortement exothermique. Des épreuves de laboratoire sur le produit tel qu'emballé sont nécessaires pour préciser la catégorie (type A à G) de cette classe.|
Thallium|Thallium|2016-01-22|7440-28-0||DP.17.99, DS.1o.2, DS.9.3|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules. En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H373) a été établie par analogie aux composés de Thallium solubles (Sulfate de thallium).|
Thio-4,4'bis (tert-butyl-6 méta-crésol)|4,4'-Thiobis(6-tert-butyl-m-cresol)|2015-10-28|96-69-5||DS.4c.1|Réglementation|||
Thiocyanate de potassium|Potassium thiocyanate|2016-07-13|333-20-0||DS.1o.4|Réglementation|||
Thiocyanate de sodium|Sodium thiocyanate|2014-11-14|540-72-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Thiocyanate mercurique|Mercuric thiocyanate|2015-10-09|592-85-8|UN1646|DS.9.1|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H372) a été établie par analogie aux composés de mercures inorganiques (Dichlorure de mercure II).|
(Thiocyanatométhylthio)-2 benzo(D) thiazole|2-(THIOCYANATOMETHYLTHIO)BENZO(D)THIAZOLE|2014-11-14|21564-17-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Thiodipropionate de distéaryle|Distearyl thiodipropionate|2014-11-14|693-36-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Thioglycolate d'ammonium|Ammonium thioglycolate|2016-07-19|5421-46-5||DS.1o.3, DS.4c.1B|Réglementation|||
Thiosulfate d'ammonium|Ammonium thiosulfate|2016-07-13|7783-18-8||Produit non contrôlé|Non requise|||
Thiosulfate d'ammonium 60%|Ammonium thiosulfate 60%|2016-07-13|||Produit non contrôlé|Non requise|||
Thiosulfate de sodium|Sodium thiosulfate|2016-01-29|7772-98-7||Produit non contrôlé|Non requise|||
Thiosulfate de sodium 0,079% (0,01N)|Sodium thiosulfate 0,079% (0,01N)|2014-11-14|||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Thiosulfate de sodium 0,79% (0,1N)|Sodium thiosulfate 0,79% (0,1N)|2014-11-14|||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Thiosulfate de sodium 7,9% (1N)|Sodium thiosulfate 7,9% (1N)|2016-01-29|||Produit non contrôlé|Non requise|||
Thiosulfate de sodium pentahydraté|Sodium thiosulfate pentahydrate|2016-01-29|10102-17-7||Produit non contrôlé|Non requise|||
Thiourée|Thiourea|2016-07-05|62-56-6||DP.17.99, DS.1o.4, DS.7.2|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Thiram|Thiram|2015-10-27|137-26-8||DP.17.99, DS.1o.4, DS.3.2A, DS.4c.1, DS.9.3|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Thréonine (d-)|d-Threonine|2015-09-29|632-20-2||Produit non contrôlé|Non requise|||
Thréonine (dl-)|dl-Tthreonine|2015-09-29|80-68-2||Produit non contrôlé|Non requise|||
Thréonine (l-)|l-Threonine|2015-09-29|72-19-5||Produit non contrôlé|Non requise|||
Titanate de baryum|Barium titanate|2015-09-03|12047-27-7||Produit non contrôlé|Non requise|||
Tolidine (ortho-), dichlorhydrate de|o-Tolidine hydrochloride|2014-11-14|612-82-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Toluène|Toluene|2020-03-11|108-88-3|UN1294|DP.6.2, DS.2.2, DS.7.2, DS.8n.3, DS.9.1, DS.10.1|Réglementation|||
Toluidine (méta-)|m-Toluidine|2015-08-25|108-44-1|UN1708|DP.6.4, DS.1o.4, DS.8.1, DS.9.3|Réglementation|||
Toluidine (méta-), chlorhydrate de|m-Toluidine hydrochloride|2014-11-14|638-03-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Toluidine (ortho-)|o-Toluidine|2015-08-25|95-53-4|UN1708|DP.6.4, DS.1i.3, DS.1o.4, DS.3.2A, DS.6.1A, DS.8.1, DS.9.3|Réglementation|||
Toluidine (ortho-), chlorhydrate de|O-toluidine hydrochloride|2014-11-14|636-21-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.4r.99, DS.5.99, DS.6.99, DS.7.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Toluidine (para-)|p-Toluidine|2018-07-25|106-49-0|UN1708|DS.1c.3, DS.1o.4, DS.3.2A, DS.4c.1B, DS.6.2|Réglementation|||
Toluidine (para-), chlorhydrate de|p-Toluidine hydrochloride|2016-07-19|540-23-8||DS.1o.4, DS.3.2|Réglementation||En raison du manque de données, la classification concernant l'irritation oculaire (H319) a été établie par analogie au p-toluïdine.|
Trémolite|Tremolite|2015-02-25|77536-68-6|UN2590|DS.6.1A, DS.9.1|Réglementation|||
Trémolite|Tremolite|2015-02-25|14567-73-8|UN2590|DS.6.1A, DS.9.1|Réglementation|||
Tri(diméthylaminométhyl)-2,4,6 phénol|2,4,6-Tri(dimethylaminomethyl)phenol|2014-11-14|90-72-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.99, DS.3.99, DS.4c.99, DS.5.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Triacétate de méthylsilanétriol|Silanetriol, methyl-, triacetate|2015-02-27|4253-34-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Triacrylate de triméthylolpropane|Trimethylolpropane triacrylate|2016-07-19|15625-89-5||DS.3.2A, DS.4c.1A|Réglementation||Ce produit est généralement commercialisé avec un inhibiteur. Par conséquent, la classification des risques liés à la santé pourrait être différente, selon l'inhibiteur utilisé et sa concentration. La classification des risques physiques tient compte de son état inhibé. Cependant, sous certaines conditions (par exemple, déplétion ou absence de l’inhibiteur) une polymérisation dangereuse peut se produire.|
Tribromure d'aluminium|Aluminum bromide|2016-03-01|7727-15-3|UN1725|DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation. Il n’y a aucune donnée disponible pour le tribromure d'aluminium concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Bromure d'hydrogène.|
Tribromure de bore|Boron tribromide|2015-12-01|10294-33-4|UN2692|DP.20pex.1, DS.1i.3, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation. Il n’y a aucune donnée disponible pour le tribromure de bore concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: bromure d'hydrogène.|
Tribromure de phosphore|Phosphorus tribromide|2016-08-05|7789-60-8|UN1808|DP.20pex.1, DS.1i.3, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz toxiques en cas d'inhalation. Il n’y a aucune donnée disponible pour le tribromure de phosphore concernant son pouvoir d’irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: bromure d'hydrogène.|
Tributylamine normal|Tributylamine|2015-02-23|102-82-9|UN2542|DP.6.4, DS.1c.2, DS.1i.99, DS.1o.4, DS.2.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Tricaprylate de glycérol|Glycerol tricaprylate|2016-01-22|538-23-8||Produit non contrôlé|Non requise|||
Trichloro-1,1,1 éthane|1,1,1-Trichloroethane|2015-08-19|71-55-6|UN2831|DS.2.2, DS.6.1B, DS.8n.3|Réglementation|||
Trichloro-1,1,1 pentafluoro-2,2,3,3,3 propane|1,1,1-Trichloropentafluoropropane|2014-11-14|4259-43-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichloro-1,1,1 trifluoro-2,2,2 éthane|1,1,1-Trichloro-2,2,2-trifluoroethane|2014-11-14|354-58-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichloro-1,1,2 difluoro-2,2 éthane|1,1,1-Trichloro-2,2-difluoroethane|2014-11-14|354-21-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichloro-1,1,2 éthane|1,1,2-Trichloroethane|2015-12-22|79-00-5||DS.1i.3, DS.1o.4|Réglementation|||
Trichloro-1,1,2 trifluoro-1,2,2 éthane|1,1,2-Trichloro-1,2,2-trifluoroethane|2015-09-02|76-13-1||DS.8n.3|Réglementation|||
Trichloro-1,1,3 pentafluoropropane|1,1,3-Trichloropentafluoropropane|2014-11-14|1652-81-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
